,param,Sex,age,Mean,P5,P10,P15,P25,P50,P75,P85,P90,P95
117,WEIGHTKG,0,42,93.9,66.3,70.1,74.5,79.9,90.5,104.0,113.7,119.6,133.3
118,WEIGHTKG,0,43,93.9,66.3,70.1,74.5,79.9,90.5,104.0,113.7,119.6,133.3
119,WEIGHTKG,0,44,93.9,66.3,70.1,74.5,79.9,90.5,104.0,113.7,119.6,133.3
120,WEIGHTKG,0,45,93.9,66.3,70.1,74.5,79.9,90.5,104.0,113.7,119.6,133.3
121,WEIGHTKG,0,46,93.9,66.3,70.1,74.5,79.9,90.5,104.0,113.7,119.6,133.3
122,WEIGHTKG,0,47,93.9,66.3,70.1,74.5,79.9,90.5,104.0,113.7,119.6,133.3
123,WEIGHTKG,0,48,93.9,66.3,70.1,74.5,79.9,90.5,104.0,113.7,119.6,133.3
124,WEIGHTKG,0,49,93.9,66.3,70.1,74.5,79.9,90.5,104.0,113.7,119.6,133.3
125,WEIGHTKG,0,50,92.9,64.75,69.3,72.75,78.30000000000001,90.05,103.0,112.05000000000001,121.75,131.95
126,WEIGHTKG,0,51,91.9,63.2,68.5,71.0,76.7,89.6,102.0,110.4,123.9,130.6
127,WEIGHTKG,0,52,91.9,63.2,68.5,71.0,76.7,89.6,102.0,110.4,123.9,130.6
128,WEIGHTKG,0,53,91.9,63.2,68.5,71.0,76.7,89.6,102.0,110.4,123.9,130.6
129,WEIGHTKG,0,54,91.9,63.2,68.5,71.0,76.7,89.6,102.0,110.4,123.9,130.6
130,WEIGHTKG,0,55,91.9,63.2,68.5,71.0,76.7,89.6,102.0,110.4,123.9,130.6
131,WEIGHTKG,0,56,91.9,63.2,68.5,71.0,76.7,89.6,102.0,110.4,123.9,130.6
132,WEIGHTKG,0,57,91.9,63.2,68.5,71.0,76.7,89.6,102.0,110.4,123.9,130.6
133,WEIGHTKG,0,58,91.9,63.2,68.5,71.0,76.7,89.6,102.0,110.4,123.9,130.6
134,WEIGHTKG,0,59,91.9,63.2,68.5,71.0,76.7,89.6,102.0,110.4,123.9,130.6
135,WEIGHTKG,0,60,91.55000000000001,62.75,68.05,70.9,76.6,89.55,102.45,110.05000000000001,120.30000000000001,129.35
136,WEIGHTKG,0,61,91.2,62.3,67.6,70.8,76.5,89.5,102.9,109.7,116.7,128.1
137,WEIGHTKG,0,62,91.2,62.3,67.6,70.8,76.5,89.5,102.9,109.7,116.7,128.1
138,WEIGHTKG,0,63,91.2,62.3,67.6,70.8,76.5,89.5,102.9,109.7,116.7,128.1
139,WEIGHTKG,0,64,91.2,62.3,67.6,70.8,76.5,89.5,102.9,109.7,116.7,128.1
140,WEIGHTKG,0,65,91.2,62.3,67.6,70.8,76.5,89.5,102.9,109.7,116.7,128.1
141,WEIGHTKG,0,66,91.2,62.3,67.6,70.8,76.5,89.5,102.9,109.7,116.7,128.1
142,WEIGHTKG,0,67,91.2,62.3,67.6,70.8,76.5,89.5,102.9,109.7,116.7,128.1
143,WEIGHTKG,0,68,91.2,62.3,67.6,70.8,76.5,89.5,102.9,109.7,116.7,128.1
144,WEIGHTKG,0,69,91.2,62.3,67.6,70.8,76.5,89.5,102.9,109.7,116.7,128.1
145,WEIGHTKG,0,70,89.45,61.4,67.3,70.19999999999999,76.1,87.4,100.45,107.75,112.7,123.55
146,WEIGHTKG,0,71,87.7,60.5,67.0,69.6,75.7,85.3,98.0,105.8,108.7,119.0
147,WEIGHTKG,0,72,87.7,60.5,67.0,69.6,75.7,85.3,98.0,105.8,108.7,119.0
148,WEIGHTKG,0,73,87.7,60.5,67.0,69.6,75.7,85.3,98.0,105.8,108.7,119.0
149,WEIGHTKG,0,74,87.7,60.5,67.0,69.6,75.7,85.3,98.0,105.8,108.7,119.0
150,WEIGHTKG,0,75,87.7,60.5,67.0,69.6,75.7,85.3,98.0,105.8,108.7,119.0
151,WEIGHTKG,0,76,87.7,60.5,67.0,69.6,75.7,85.3,98.0,105.8,108.7,119.0
152,WEIGHTKG,0,77,87.7,60.5,67.0,69.6,75.7,85.3,98.0,105.8,108.7,119.0
153,WEIGHTKG,0,78,87.7,60.5,67.0,69.6,75.7,85.3,98.0,105.8,108.7,119.0
154,WEIGHTKG,0,79,87.7,60.5,67.0,69.6,75.7,85.3,98.0,105.8,108.7,119.0
155,WEIGHTKG,0,80,84.1,58.35,64.5,67.1,72.45,82.44999999999999,94.0,101.5,103.95,113.45
156,WEIGHTKG,0,81,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
157,WEIGHTKG,0,82,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
158,WEIGHTKG,0,83,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
159,WEIGHTKG,0,84,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
160,WEIGHTKG,0,85,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
161,WEIGHTKG,0,86,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
162,WEIGHTKG,0,87,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
163,WEIGHTKG,0,88,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
164,WEIGHTKG,0,89,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
165,WEIGHTKG,0,90,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
166,WEIGHTKG,0,91,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
167,WEIGHTKG,0,92,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
168,WEIGHTKG,0,93,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
169,WEIGHTKG,0,94,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
170,WEIGHTKG,0,95,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
171,WEIGHTKG,0,96,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
172,WEIGHTKG,0,97,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
173,WEIGHTKG,0,98,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
174,WEIGHTKG,0,99,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
175,WEIGHTKG,0,100,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
176,WEIGHTKG,0,101,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
177,WEIGHTKG,0,102,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
178,WEIGHTKG,0,103,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
179,WEIGHTKG,0,104,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
180,WEIGHTKG,0,105,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
181,WEIGHTKG,0,106,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
182,WEIGHTKG,0,107,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
183,WEIGHTKG,0,108,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
184,WEIGHTKG,0,109,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
185,WEIGHTKG,0,110,80.5,56.2,62.0,64.6,69.2,79.6,90.0,97.2,99.2,107.9
186,HEIGHTCM,1,18,162.6,151.0,153.8,155.3,158.1,162.8,167.0,169.5,170.8,172.8
187,HEIGHTCM,1,19,162.6,151.0,153.8,155.3,158.1,162.8,167.0,169.5,170.8,172.8
188,HEIGHTCM,1,20,162.6,151.0,153.8,155.3,158.1,162.8,167.0,169.5,170.8,172.8
189,HEIGHTCM,1,21,162.6,151.0,153.8,155.3,158.1,162.8,167.0,169.5,170.8,172.8
